resume_id,source_url,retrieved_at,format,layout_bin,anonymised,notes
prac_001,unknown,,pdf,,,
prac_002,unknown,,pdf,,,
prac_003,unknown,,pdf,,,
prac_004,unknown,,pdf,,,
prac_005,unknown,,pdf,,,
prac_006,unknown,,pdf,,,
prac_007,unknown,,docx,,,
prac_008,unknown,,docx,,,
prac_009,unknown,,docx,,,
prac_010,unknown,,pdf,,,
prac_011,unknown,,pdf,,,
prac_012,unknown,,pdf,,,
prac_013,unknown,,pdf,,,
prac_014,unknown,,pdf,,,
prac_015,unknown,,pdf,,,
prac_016,unknown,,pdf,,,
prac_017,unknown,,pdf,,,
prac_018,unknown,,pdf,,,
prac_020,unknown,,pdf,,,
